sentence,label
I love this product,positive
This is amazing,positive
So happy today,positive
What a great day,positive
Excellent service and friendly staff,positive
Absolutely fantastic! I will come again,positive
I enjoyed the experience,positive
The weather is beautiful,positive
Everything was perfect,positive
Good job on the project,positive
You did an excellent job,positive
I'm proud of you,positive
The food was delicious,positive
That movie was wonderful,positive
The team played really well,positive
It's a pleasure working here,positive
I'm very satisfied,positive
That performance was impressive,positive
Your help was greatly appreciated,positive
This makes me feel great,positive
Very kind and helpful support,positive
I'm thrilled with the results,positive
Everything exceeded expectations,positive
They handled it perfectly,positive
This is exactly what I wanted,positive
A truly memorable experience,positive
You’ve made my day,positive
I feel refreshed and energized,positive
This looks beautiful,positive
Highly recommend it to everyone,positive
Very happy with the purchase,positive
The packaging was neat and professional,positive
It was a pleasure to use,positive
Couldn't be more pleased,positive
Impressive and fast results,positive
The atmosphere was delightful,positive
Staff were courteous and helpful,positive
One of the best I've seen,positive
A great surprise,positive
Everything went smoothly,positive
The presentation was flawless,positive
I feel lucky to have chosen this,positive
This improved my workflow,positive
Fast and accurate service,positive
I received compliments,positive
Amazing user experience,positive
Exactly what I needed,positive
This brings me joy,positive
I smiled the whole time,positive
A heartwarming story,positive
This is terrible,negative
I hate it,negative
Such a bad experience,negative
Awful and disappointing,negative
Completely useless,negative
Worst service ever,negative
I am very unhappy,negative
The product broke immediately,negative
Poor performance overall,negative
Nothing worked as expected,negative
It made me feel awful,negative
I regret buying this,negative
I was completely ignored,negative
This is not acceptable,negative
Very rude behavior,negative
Terrible customer service,negative
It never arrived,negative
They lied to me,negative
This is a scam,negative
The quality is horrible,negative
Everything was broken,negative
I was overcharged,negative
A total disaster,negative
They didn’t help at all,negative
The app keeps crashing,negative
Absolutely infuriating,negative
No support available,negative
It took forever to load,negative
Worst decision ever,negative
I feel let down,negative
It's very buggy,negative
Extremely frustrating,negative
I can’t use this anymore,negative
This ruined my day,negative
Never buying again,negative
Too many problems to count,negative
They never answered,negative
Misleading advertising,negative
I want a refund,negative
They made things worse,negative
Totally unreliable,negative
A bad experience overall,negative
The instructions were unclear,negative
It's confusing and slow,negative
Didn't live up to expectations,negative
Feels like a waste of time,negative
Gave me a headache,negative
An error occurred constantly,negative
Really disappointed in this,negative
This isn't what I expected,negative
